gene_id	paired_ABC284_1	paired_oxIs12_2	paired_ABC16_2	paired_oxIs12_1	paired_ABC291_1	paired_ABC291_2	paired_ABC16_1	paired_ABC284_2
WBGene00020661	964.0	1254.0	1034.0	792.0	985.0	982.0	1092.0	483.0
WBGene00020662	6581.0	16536.0	7175.0	21058.0	11099.0	14516.0	7519.0	8256.0
WBGene00020663	6.0	5.0	33.0	31.0	1.0	6.0	19.0	15.0
WBGene00020664	2.0	4.0	5.0	15.0	3.0	4.0	5.0	11.0
WBGene00020665	5.0	1.0	0.0	0.0	14.0	2.0	1.0	34.0
WBGene00020666	1.0	0.0	1.0	5.0	6.0	2.0	2.0	2.0
WBGene00020667	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
WBGene00020669	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
WBGene00020670	35.0	92.0	80.0	165.0	8.0	6.0	139.0	48.0
WBGene00020672	355.0	546.0	186.0	1058.0	190.0	656.0	308.0	75.0
WBGene00020673	51.0	19.0	34.0	27.0	53.0	45.0	45.0	109.0
WBGene00020674	388.0	242.0	209.0	211.0	375.0	1592.0	519.0	351.0
WBGene00020675	18.0	40.0	21.0	9.0	18.0	21.0	29.0	15.0
WBGene00020678	353.0	613.0	299.0	264.0	365.0	286.0	428.0	620.0
WBGene00020679	7115.0	7829.0	5212.0	6300.0	8531.0	8194.0	5648.0	8531.0
WBGene00020680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
WBGene00020682	2252.0	3095.0	2670.0	2707.0	2863.0	2482.0	2912.0	2511.0
WBGene00020683	5205.0	6870.0	6422.0	6965.0	6117.0	6065.0	6389.0	6105.0
WBGene00020684	1301.0	1033.0	1143.0	517.0	1962.0	1692.0	899.0	2078.0
WBGene00020686	12.0	24.0	15.0	32.0	22.0	16.0	20.0	24.0
WBGene00020687	1368.0	1751.0	1730.0	1425.0	1653.0	1572.0	1808.0	1550.0
WBGene00020688	33.0	58.0	75.0	66.0	30.0	34.0	69.0	33.0
WBGene00020689	32.0	46.0	33.0	57.0	44.0	32.0	44.0	68.0
WBGene00020690	6.0	18.0	0.0	6.0	12.0	10.0	1.0	11.0
WBGene00020691	2.0	2.0	16.0	5.0	1.0	1.0	11.0	17.0
WBGene00020692	66.0	51.0	48.0	65.0	49.0	45.0	64.0	42.0
WBGene00020693	185.0	267.0	225.0	264.0	168.0	208.0	267.0	192.0
WBGene00020694	4.0	12.0	7.0	30.0	1.0	5.0	14.0	8.0
WBGene00020695	653.0	711.0	614.0	594.0	1001.0	835.0	715.0	1049.0
WBGene00020696	12090.0	11600.0	10744.0	10446.0	15944.0	15092.0	10787.0	16966.0
WBGene00020697	7.0	9.0	4.0	6.0	24.0	13.0	4.0	33.0
WBGene00020698	3.0	6.0	10.0	6.0	9.0	2.0	0.0	11.0
WBGene00020699	9.0	0.0	4.0	4.0	13.0	6.0	13.0	13.0
WBGene00020700	17.0	1.0	6.0	4.0	72.0	100.0	1.0	36.0
WBGene00020701	104.0	173.0	87.0	139.0	165.0	157.0	126.0	145.0
WBGene00020702	24.0	64.0	110.0	100.0	31.0	16.0	147.0	67.0
WBGene00020703	14.0	34.0	46.0	64.0	22.0	24.0	55.0	14.0
WBGene00020705	620.0	596.0	657.0	534.0	754.0	642.0	809.0	887.0
WBGene00020706	834.0	1178.0	683.0	907.0	913.0	811.0	706.0	1112.0
WBGene00020707	363.0	1154.0	702.0	1171.0	197.0	356.0	962.0	230.0
WBGene00020708	15.0	37.0	26.0	18.0	9.0	6.0	14.0	23.0
WBGene00020709	930.0	895.0	907.0	816.0	1144.0	1086.0	981.0	1218.0
WBGene00020710	415.0	734.0	406.0	678.0	290.0	389.0	539.0	477.0
WBGene00020711	2.75	0.0	2.0	0.0	0.0	5.52	3.0	3.92
WBGene00020712	4.0	16.0	11.0	7.0	9.0	8.0	6.0	27.0
WBGene00020713	1416.0	1614.0	1199.0	1106.0	1351.0	1322.0	1555.0	773.0
WBGene00020714	12.0	11.0	8.0	6.0	22.0	28.0	5.0	16.0
WBGene00020715	32.0	48.0	49.0	10.0	45.0	26.0	30.0	28.0
